,instance_id,gesture_id,country,highest-level UNGeoScheme,lowest-level UNGeoScheme,Inglehart–Welzel cluster,user_id,meaning,offensive_usage_scenarios,non_offensive_usage_scenarios,offensiveness_score,confidence_score,unsure_explanation
10,ID_Aus_3,V sign,New Zealand,Oceania,Australia and New Zealand,English Speaking,65de2a1342c20fb64960dd2b,"Palm facing in used to be very offensive, now, especially when it's performed with both hands it can be affectionately funny.
Palm facing out, it's understood to be a 'peace' sign, or 'victory' sign, depending on the context in which it's used.","If it's used in anger, with one hand, in a conflict situation. Tends to be read as offensive by older people.","If the palm is turned outwards, or if the action is carried out with both hands, palm facing inwards, tends to be used for humourous effect.",free_response,2,
11,ID_Aus_3,V sign,New Zealand,Oceania,Australia and New Zealand,English Speaking,646f6c568e6ce589a788a1da,I don't know,I'm not sure,I'm not sure,Unsure,5,I am not familiar with hand gestures in New Zealand
12,ID_Aus_3,V sign,New Zealand,Oceania,Australia and New Zealand,English Speaking,66abed6754a211bfec5108f8,"It means ""peace""",Maybe if people are fighting and someone did this gesture and left without resolving ,It's usually done in pictures/photos,Not Offensive/Appropriate/No Meaning,5,
13,ID_Aus_3,V sign,New Zealand,Oceania,Australia and New Zealand,English Speaking,6675e405beeb415d60578306,"If the V sign is done with the palm facing inwards, it can be interpreted as giving someone ""The fingers"", which is equivalent to the single middle finger. Palm outwards we would consider it the peace sign.","I don't think it's so commonly seen in this way in modern usage. But growing up in the 80s and 90s this was definitely equally offensive and naughty to do as the middle finger, and was called ""Up yours."" If someone made this gesture at you (palm facing in) there was definitely cause to tell on them!",,Rude/Impolite/Inappropriate/Disrespectful,5,
14,ID_Aus_3,V sign,New Zealand,Oceania,Australia and New Zealand,English Speaking,659d89b9d816e89ba953f4a9,"When the palm is facing the body, it means 'up yours' and can be considered rude","Only when the palm is facing the body, otherwise facing away means 'peace' which causes no offence",,Rude/Impolite/Inappropriate/Disrespectful,5,
15,ID_Aus_4,Wanker,Australia,Oceania,Australia and New Zealand,English Speaking,65de2a1342c20fb64960dd2b,"This gesture is used to indicate that a person is unpleasant and their opinions or words are unnecessarily agreesive or disagreeable, usuall directed towards men.","If someone were to use it directly at a person, this is more offensive than using it behind someone's back towards others who agree with the assessment of the target person's opinions, words or actions.",It can be used as a way of dispelling tension and as a humourous indicator of a person's incompetence.,Offensive/Obscene,4,
16,ID_Aus_4,Wanker,Australia,Oceania,Australia and New Zealand,English Speaking,646f6c568e6ce589a788a1da,It implies masturbation,"It is considered offensive in polite company, where masturbation is not usually spoken about.",,Rude/Impolite/Inappropriate/Disrespectful,4,
17,ID_Aus_4,Wanker,Australia,Oceania,Australia and New Zealand,English Speaking,66abed6754a211bfec5108f8,It means to someone who jerks off/ is a jerk,"If you did this to anyone you didn't know in general, or among friends in a public context/during an argument",among close friends having a joke,Rude/Impolite/Inappropriate/Disrespectful,3,
18,ID_Aus_4,Wanker,Australia,Oceania,Australia and New Zealand,English Speaking,6675e405beeb415d60578306,"People in Australia would, like New Zealand, consider this sign to mean ""wanker""","If any stranger were to give you this sign, they are presumably insulting you and it would be considered offensive. Friends may potentially use it among themselves as a joke however.",,Offensive/Obscene,4,
19,ID_Aus_4,Wanker,Australia,Oceania,Australia and New Zealand,English Speaking,659d89b9d816e89ba953f4a9,It implies that someone is acting like a 'wanker' and the gesture is used to insult or make fun of them,This gesture may be offensive when directed towards a transgender female,,Rude/Impolite/Inappropriate/Disrespectful,5,
20,ID_Aus_5,Wanker,New Zealand,Oceania,Australia and New Zealand,English Speaking,65de2a1342c20fb64960dd2b,"This gesture is used to indicate that a person is unpleasant and their opinions or words are unnecessarily agreesive or disagreeable, usuall directed towards men.","If someone were to use it directly at a person, this is more offensive than using it behind someone's back towards others who agree with the assessment of the target person's opinions, words or actions.",It can be used as a way of dispelling tension and as a humourous indicator of a person's incompetence.,Offensive/Obscene,4,
21,ID_Aus_5,Wanker,New Zealand,Oceania,Australia and New Zealand,English Speaking,646f6c568e6ce589a788a1da,It implies masturbation,It is considered offensive in polite company,,Offensive/Obscene,3,
22,ID_Aus_5,Wanker,New Zealand,Oceania,Australia and New Zealand,English Speaking,66abed6754a211bfec5108f8,It means someone who jerks themself off/ who is a jerk,"Someone you don't know well or who you are not friends with, and any time it isn't meant as a joke among friends",Maybe as a joke among close friends,Offensive/Obscene,4,
23,ID_Aus_5,Wanker,New Zealand,Oceania,Australia and New Zealand,English Speaking,6675e405beeb415d60578306,"It is the same as calling someone a ""wanker"". If someone in New Zealand saw someone using this gesture while looking at or talking about them, they would assume they were being called a wanker.","perhaps in an instance when someone can't hear you but they can see you, if you were to give them this signal the message would be received loud and clear. for example, in instances of road rage.",,Offensive/Obscene,5,
24,ID_Aus_5,Wanker,New Zealand,Oceania,Australia and New Zealand,English Speaking,659d89b9d816e89ba953f4a9,This gesture implies that someone is a 'wanker' and is used as an insult ,"This gesture would be offensive to a transgender female, and is often used in instances of NZ road rage",,Rude/Impolite/Inappropriate/Disrespectful,5,
25,ID_CAmerica_3,Index finger pointing,Haiti,Americas,Caribbean,Latin America,613d188b13002a6251b1e3fc,"It is a disrespectful gesture, they would think you are making fun of them.","When haitian are walking in the streets, they notice that there is a finger pointing at them, and they would feel discomfort.",,Rude/Impolite/Inappropriate/Disrespectful,4,
26,ID_CAmerica_3,Index finger pointing,Haiti,Americas,Caribbean,Latin America,613a926e047a58c4c45e650d,it is considered rude or impolite to point at people,If you're in a restaurant and a table nearby is pointing at you while they're talking,,Rude/Impolite/Inappropriate/Disrespectful,5,
27,ID_CAmerica_3,Index finger pointing,Haiti,Americas,Caribbean,Latin America,613e550a43f3591b1437d1e1,when they are referring to you,when someone far away from you is talking to someone else and points at you,,Rude/Impolite/Inappropriate/Disrespectful,5,
28,ID_CAmerica_3,Index finger pointing,Haiti,Americas,Caribbean,Latin America,5f94b94a5df97331448e1058,"Pointing directly is considered rude, it can be interpreted as blaming you, judging you, etc.",In any situation,,Rude/Impolite/Inappropriate/Disrespectful,4,
29,ID_CAmerica_3,Index finger pointing,Haiti,Americas,Caribbean,Latin America,5ea66d70b8b1aa67d638b824,Sometimes it is associated with blaming them.,"In a work environment where you might not know everybody, it could be considered unpolite to finger point at someone.",Pointing out at your pets.,Rude/Impolite/Inappropriate/Disrespectful,3,
30,ID_CAmerica_5,Five Fathers ,Cuba,Americas,Caribbean,Latin America,613d188b13002a6251b1e3fc,I dont have much knowledge of this culture country or how they would interpret it.,I dont have much knowledge of this culture country or how they would interpret it.,I dont have much knowledge of this culture country or how they would interpret it.,Unsure,3,I dont have much knowledge of this culture country or how they would interpret it.
31,ID_CAmerica_5,Five Fathers ,Cuba,Americas,Caribbean,Latin America,613a926e047a58c4c45e650d,not sure,not sure,not sure,Unsure,3,never seen that gesture before
32,ID_CAmerica_5,Five Fathers ,Cuba,Americas,Caribbean,Latin America,613e550a43f3591b1437d1e1,i dont know,i dont know,i dont know,Unsure,5, i dont have seen this gesture before
33,ID_CAmerica_5,Five Fathers ,Cuba,Americas,Caribbean,Latin America,5f94b94a5df97331448e1058,Im not sure,I don't know that sign,I don't know that sign,Unsure,4,I don't know that sign
34,ID_CAmerica_5,Five Fathers ,Cuba,Americas,Caribbean,Latin America,5ea66d70b8b1aa67d638b824,Implying that somebody's mother has had many lovers.,Throwing it at a fatherless person.,None.,Offensive/Obscene,4,
35,ID_CAmerica_6,Five Fathers ,Jamaica,Americas,Caribbean,Latin America,613d188b13002a6251b1e3fc,Maybe they could take this gesture as a social class thing.,"For example, if there are two boys playing futboll and they see that a boy near them, walking on the street is platying with a plastic bottle, one of the boys may do the gesture to tell the other kid about the act.",,Rude/Impolite/Inappropriate/Disrespectful,3,
36,ID_CAmerica_6,Five Fathers ,Jamaica,Americas,Caribbean,Latin America,613a926e047a58c4c45e650d,not sure,not sure,not sure,Unsure,3,never seen that gesture before
37,ID_CAmerica_6,Five Fathers ,Jamaica,Americas,Caribbean,Latin America,613e550a43f3591b1437d1e1,i dont know,i dont know,i dont know,Unsure,5,i have not seeing this before
38,ID_CAmerica_6,Five Fathers ,Jamaica,Americas,Caribbean,Latin America,5f94b94a5df97331448e1058,I don't know ,i dont know,.,Unsure,4,I don't know that sign
39,ID_CAmerica_6,Five Fathers ,Jamaica,Americas,Caribbean,Latin America,5ea66d70b8b1aa67d638b824,Implying promiscuousness.,Using it against women specifically.,,Offensive/Obscene,3,
40,ID_CAmerica_7,Five Fathers ,Haiti,Americas,Caribbean,Latin America,613d188b13002a6251b1e3fc,they are pointing to something in and indirect way.,,When person A and his friend are hanging out and person A does that gesture to imply that they should lood absent-mindedness,Not Offensive/Appropriate/No Meaning,4,
41,ID_CAmerica_7,Five Fathers ,Haiti,Americas,Caribbean,Latin America,613a926e047a58c4c45e650d,not sure,not sure,not sure,Unsure,1,never seen that gesture before
42,ID_CAmerica_7,Five Fathers ,Haiti,Americas,Caribbean,Latin America,613e550a43f3591b1437d1e1,i dont know,i dont know,i dont know,Unsure,5,i have not seeing this gesture before
43,ID_CAmerica_7,Five Fathers ,Haiti,Americas,Caribbean,Latin America,5f94b94a5df97331448e1058,Im not sure,I don't know ,I don't know ,Unsure,4,I don't know that sign
44,ID_CAmerica_7,Five Fathers ,Haiti,Americas,Caribbean,Latin America,5ea66d70b8b1aa67d638b824,Implying promiscousness.,Using this gesture with native citizens might confuse them which might lead to anger by thinking they are being offended.,None.,Offensive/Obscene,4,
45,ID_CAmerica_1,The Fig,Nicaragua,Americas,Central America,Latin America,613d188b13002a6251b1e3fc,I think it an warning for somebody that should not speak.,"When peron A and B are disagreeing, an other person gets involved, person A shows the warning gesture for them not to be involve.",,Rude/Impolite/Inappropriate/Disrespectful,3,
46,ID_CAmerica_1,The Fig,Nicaragua,Americas,Central America,Latin America,613a926e047a58c4c45e650d,It has strong sexual connotations,"Perhaps while in public, if someone makes this gesture to you in Nicaragua it will be highly offensive because of the historical context",,Offensive/Obscene,5,
47,ID_CAmerica_1,The Fig,Nicaragua,Americas,Central America,Latin America,613e550a43f3591b1437d1e1,when you dont want to do something,,when you just deny to do something,Not Offensive/Appropriate/No Meaning,4,
48,ID_CAmerica_1,The Fig,Nicaragua,Americas,Central America,Latin America,5f94b94a5df97331448e1058,It has sexual connotations,In any situation,,Offensive/Obscene,4,
49,ID_CAmerica_1,The Fig,Nicaragua,Americas,Central America,Latin America,5ea66d70b8b1aa67d638b824,Not complying with someone's request or even throwing an insult back at them.,Responding to someone with this hand gesture when they are mid conversation.,During sexual intercourse.,Offensive/Obscene,4,
50,ID_CAmerica_2,Horns,Mexico,Americas,Central America,Latin America,613d188b13002a6251b1e3fc,"In religious concept this may be interpreted as a demon sign, implying something satanic.","When there are an stereotype of rock band listeners, they may be doing that gesture near some religious people who are annoying them by showing them the bible.",,Offensive/Obscene,5,
51,ID_CAmerica_2,Horns,Mexico,Americas,Central America,Latin America,613a926e047a58c4c45e650d,It usually means someone is enjoying listening to rock music and having fun,,At a rock concert it is very common to see people using this gesture,Not Offensive/Appropriate/No Meaning,4,
52,ID_CAmerica_2,Horns,Mexico,Americas,Central America,Latin America,613e550a43f3591b1437d1e1,"this means like ""YrEAAAH, ROCK""",,When you are at a rock concert,Not Offensive/Appropriate/No Meaning,5,
53,ID_CAmerica_2,Horns,Mexico,Americas,Central America,Latin America,5f94b94a5df97331448e1058,"It is usually used by people who are fans of rock music, but it has ""devilish"" connotations in religion.",Use inside a church,,Rude/Impolite/Inappropriate/Disrespectful,3,
54,ID_CAmerica_2,Horns,Mexico,Americas,Central America,Latin America,5ea66d70b8b1aa67d638b824,Affinity towards rock genre culture.,,Using it during a rock concert.,Not Offensive/Appropriate/No Meaning,3,
55,ID_CAmerica_4,Open palm with fingers spread,Mexico,Americas,Central America,Latin America,613d188b13002a6251b1e3fc,This would probably be to say stop to someone in an indirect way.,,"When person A and B are talking and person A wants to interrump person B, so person A do that gesture.",Not Offensive/Appropriate/No Meaning,5,
56,ID_CAmerica_4,Open palm with fingers spread,Mexico,Americas,Central America,Latin America,613a926e047a58c4c45e650d,"It is not common to see this, perhaps people might think it means ""stop""",,"Maybe if someone is trying to stop a car in the road, they might hold up their hands with that gesture trying to get them to stop",Not Offensive/Appropriate/No Meaning,3,
57,ID_CAmerica_4,Open palm with fingers spread,Mexico,Americas,Central America,Latin America,613e550a43f3591b1437d1e1,it means to stop,,Where you are crossing street and you do this gesture to stop the cars,Not Offensive/Appropriate/No Meaning,5,
58,ID_CAmerica_4,Open palm with fingers spread,Mexico,Americas,Central America,Latin America,5f94b94a5df97331448e1058,Sign to stop something or somebody,,In situations to demonstrate a limit,Not Offensive/Appropriate/No Meaning,4,
59,ID_CAmerica_4,Open palm with fingers spread,Mexico,Americas,Central America,Latin America,5ea66d70b8b1aa67d638b824,Typically sed to say hi.,,Just waving hands at a friend.,Not Offensive/Appropriate/No Meaning,5,
60,ID_Af_8,Index finger pointing,Kenya,Africa,Eastern Africa,African-Islamic,66ae2d5e40afb51ec29a4b80,Pointing at someone or something,When pointing to a person especially an elder,"When pointing to a thing, an object or an animal",Rude/Impolite/Inappropriate/Disrespectful,5,
61,ID_Af_8,Index finger pointing,Kenya,Africa,Eastern Africa,African-Islamic,608d38969fad96a629f97f52,You are pointing at something or you are scolding or giving warning,It not offensive it is a way of reprimanded someone ,Not sure if I can say positive but it is a way of reprimanded someone ,Unsure,4,It could mean scolding
62,ID_Af_8,Index finger pointing,Kenya,Africa,Eastern Africa,African-Islamic,64d1259c5390f1005e50f033,Kenya people usually use their chins to point ,,When used by leaders to communicate but the palms usually face down ,Not Offensive/Appropriate/No Meaning,4,
63,ID_Af_8,Index finger pointing,Kenya,Africa,Eastern Africa,African-Islamic,664b3dbcb30dd9b94a597726,It shows disrespect or disapproval.,When arguing or showing disapproval of someone,,Rude/Impolite/Inappropriate/Disrespectful,5,
64,ID_Af_12,Left Hand ,Kenya,Africa,Eastern Africa,African-Islamic,615253bc38cf43f800256d11,It is a sign of respect receiving things with the left hand.,,Receiving money with the left hand is a sign of respect.,Not Offensive/Appropriate/No Meaning,4,
65,ID_Af_12,Left Hand ,Kenya,Africa,Eastern Africa,African-Islamic,6145fd744ef9af2c44486e81,disrespect,using your left hand is considered as rude if not its not your dominant hand,,Unsure,4,some people are born with a dominant left hand function however if an individual is generally right handed and they use their left hand then its considered offensive
66,ID_Af_12,Left Hand ,Kenya,Africa,Eastern Africa,African-Islamic,608d38969fad96a629f97f52,A sign of respect or gratitude when receiving or using the left hand,,It's a sign or respect and gratitude ,Not Offensive/Appropriate/No Meaning,5,
67,ID_Af_12,Left Hand ,Kenya,Africa,Eastern Africa,African-Islamic,64d1259c5390f1005e50f033,"The left hand is reserved for unhygienic acts, so it is inappropriate to use it while eating or exchanging gifts","Eating, touching and passing things to others",,Rude/Impolite/Inappropriate/Disrespectful,5,
68,ID_Af_12,Left Hand ,Kenya,Africa,Eastern Africa,African-Islamic,60e30b14b9529c8d4a51068c,"Traditionally the left hand is reserved for unhygienic acts and the right for eating and touching, or passing things to others.","In Kenya, it is considered rude and disrespectful when you give or pass something to someone using your left hand. ",,free_response,5,
69,ID_Af_17,Pinched Fingers,Malawi,Africa,Eastern Africa,African-Islamic,66ae2d5e40afb51ec29a4b80,"Demonstrate a size of something, especially if it is small",When you reduce a size of a person while telling them that yo are small,Reffering to a size of an object or thing,Not Offensive/Appropriate/No Meaning,3,
70,ID_Af_17,Pinched Fingers,Malawi,Africa,Eastern Africa,African-Islamic,66a4cfab44d73d56adc627b1,It implies you don’t have brains or you’re crazy,When you’re having a fight with someone ,,Offensive/Obscene,4,
71,ID_Af_17,Pinched Fingers,Malawi,Africa,Eastern Africa,African-Islamic,615ec799117af6722a0f590a,I am not sure how offensive it is in malawi,not sure,not sure,Unsure,3,"In my culture its not offensive, i'm not sure about the malawi culture"
72,ID_Af_17,Pinched Fingers,Malawi,Africa,Eastern Africa,African-Islamic,64d1259c5390f1005e50f033,It refers to human testicles,When someone is using this hand gesture to insult another,,Offensive/Obscene,5,
73,ID_Af_17,Pinched Fingers,Malawi,Africa,Eastern Africa,African-Islamic,664b3dbcb30dd9b94a597726,It means something insignificant or small,,When describing something or someone.,Not Offensive/Appropriate/No Meaning,5,
74,ID_EA_1,The Fig,Mongolia,Asia,Eastern Asia,West & South Asia,5f23c8b2be6a4e1a1481ba56,could be used for male genetalia,all times,maybe with friends,Rude/Impolite/Inappropriate/Disrespectful,3,
75,ID_EA_1,The Fig,Mongolia,Asia,Eastern Asia,West & South Asia,666c4e2736959872a22def3d,Not sure.,Not sure.,Not sure.,Unsure,3,Not familiar with Mongolian customs.
76,ID_EA_1,The Fig,Mongolia,Asia,Eastern Asia,West & South Asia,6644b979d82aa15b1f944f25,This hand gesture is said to imitate female genitalia. It is often used to insult people.,"Having a conversation with a new acquaintance, or attempting to make friends.",,Offensive/Obscene,4,
77,ID_EA_1,The Fig,Mongolia,Asia,Eastern Asia,West & South Asia,6465affa18e51585c3547310,It's considered an offensive gesture (mimics female genitalia) and is used to insult others.,"It's often used together with spitting as a way to disrespect/insult others in confrontational situations, as in ""screw you!"" or ""get this!""",,Offensive/Obscene,5,
78,ID_EA_1,The Fig,Mongolia,Asia,Eastern Asia,West & South Asia,66631cdc7065f2abcd813973,When someone abusing others and anger ,Fight contest ,,Offensive/Obscene,5,
79,ID_EAsia_Noff2_1,Shocker,South Korea,Asia,Eastern Asia,Confucian,66bda971864b49e451c6e674,浮気等の社会的道徳に欠如した行動で周囲の人や相手を含め不快にさせたとき,不快な事をされたときにつかう薬指はエンゲージリングをはめる指なので、それがないのは拒絶と判断,不快と判断,Unsure,3,不明
80,ID_EAsia_Noff2_1,Shocker,South Korea,Asia,Eastern Asia,Confucian,66cac653ca2de2f3c6cdeff8,"This gesture may mean sexual stuff or cutting finger, so its unclear. And I'm not confident",When a male show this gesture to a female.,accidentally cut fingers,Unsure,2,unsure
81,ID_EAsia_Noff2_1,Shocker,South Korea,Asia,Eastern Asia,Confucian,6660ff5f37446da5f38f06f6,unclear,It looks like it might signify a group or collection of people.,,Not Offensive/Appropriate/No Meaning,2,
82,ID_EAsia_Noff2_1,Shocker,South Korea,Asia,Eastern Asia,Confucian,665e8784960919e34257696d,"I think it may be more of a cool hand gesture among the youth. A lot of celebrities make the gesture when they pose for pictures. I would not say it is a gang sign, but it has the same sort of cool connotation to it.",I'm not too sure.,The youth make the gesture in photos.,Not Offensive/Appropriate/No Meaning,4,
83,ID_EAsia_Noff2_1,Shocker,South Korea,Asia,Eastern Asia,Confucian,6697cd1e200d9cc873ff8d81,時に意味がないように感じた。,,特に何も意味がないジェスチャーだと思いました。,Not Offensive/Appropriate/No Meaning,3,
84,ID_EA_2,The Fig,Japan,Asia,Eastern Asia,Confucian,666c4e2736959872a22def3d,It means sex.,"If a foreigner who is not familiar with that meaning thinks it means ""got your nose"" and does that gesture to a kid. That would be considered offensive by the kid/their parents.",,Offensive/Obscene,5,
85,ID_EA_2,The Fig,Japan,Asia,Eastern Asia,Confucian,669a687aa4b63a61f8f5b07f,It has sexual implications,"When interacting with someone in public, especially someone of the opposite sex, specifically a man to a woman.",,Offensive/Obscene,5,
86,ID_EA_2,The Fig,Japan,Asia,Eastern Asia,Confucian,666869f851894e7bd434e03a,This is a very obscene gesture with sexual connotations in Japan.,It is very offensive in general.,,Offensive/Obscene,5,
87,ID_EA_2,The Fig,Japan,Asia,Eastern Asia,Confucian,66c740d1f0ac1f23799c95f6,It's seen as an obscene gesture with sexual connotations in Japan.,japan cuture this is primary meaning inviting someone to approach ,,Offensive/Obscene,5,
88,ID_EA_2,The Fig,Japan,Asia,Eastern Asia,Confucian,66631cdc7065f2abcd813973,When Someone angry with others ,Boxing place ,,Offensive/Obscene,5,
89,ID_EAsia_Noff2_2,Middle Finger,Taiwan,Asia,Eastern Asia,Confucian,66cac653ca2de2f3c6cdeff8,"This gesture means ""Fuck you"" in Taiwan. Taiwan is  influenced by USA much.","Someone show this gesture to someone else, when They are fighting each other.",,Offensive/Obscene,3,
90,ID_EAsia_Noff2_2,Middle Finger,Taiwan,Asia,Eastern Asia,Confucian,671de2ac4bafa85dac6e1640,"The gesture is equivalent to using harsh verbal insults. Someone using the middle finger, they generally interpret it as a direct and aggressive provocation.",Public Spaces; workplaces; road Traffic,no situations; but maybe among close friends as a joke.,Offensive/Obscene,5,
91,ID_EAsia_Noff2_2,Middle Finger,Taiwan,Asia,Eastern Asia,Confucian,65b4bb3941b525f6ca6269a9,I don't know.,I don't know.,I don't know.,Unsure,3,I don't know what it means in Taiwan.
92,ID_EAsia_Noff2_2,Middle Finger,Taiwan,Asia,Eastern Asia,Confucian,5a6fcd526923df0001ef975f,"I don't know. I live in Japan. In Japan it means 1 or  ""once more"" generally. I have a theory that the most offensive gesture in the US, UK, and Japan is the g esture for kill or die. In the UK the  V sign may have been associated with archery, which is how we brits killed French people. In Japan the gesture isn't used offensively but a throat cutting gesture could be used to mean the most offensive Japanese insult which is ""die"" and in the USA, where there are guns, the bird seems to me (my theory) to be associated with triggers. ","It is offensive in the USA. It is not offensive in the UK, or it wasn't when I lived there 30 years ago,  but it is rarely used.","It can mean ""1"", ""once more"" in Japan, and it is not offensive here, in Japan.",Unsure,1,"I am not from Taiwan. I don't know anything about Taiwaneses gestures. In Japan it is not offensive, generally, except to those that know how the gesture is used in the USA. It was not offensive in the UK either when I was young, when I lived there."
93,ID_EAsia_Noff2_2,Middle Finger,Taiwan,Asia,Eastern Asia,Confucian,5f3e6e0d4a65a7071650e28d,"The same as in the Western world, I guess. Disrespect, antipathy, agressiveness.",Probably any context in which it is used.,,Rude/Impolite/Inappropriate/Disrespectful,2,
94,ID_EA_3,Index finger pointing,Japan,Asia,Eastern Asia,Confucian,666c4e2736959872a22def3d,"Same as above. In many contexts, pointing is part of an SOP. For example, at train platforms, staff point from tip to tip of the train to make sure all doors are closed and nothing looks out of place. In other contexts (kid pointing at a foreigner), it would be considered rude.","Same as above. If a kid is pointing their finger at a foreigner on the street and saying something out loud about said foreigner, it would be considered rude.","Same as above. If it's part of an SOP, it's not considered offensive at all.",Unsure,5,"In many contexts, pointing is part of an SOP. For example, at train platforms, staff point from tip to tip of the train to make sure all doors are closed and nothing looks out of place. In other contexts (kid pointing at a foreigner), it would be considered rude."
95,ID_EA_3,Index finger pointing,Japan,Asia,Eastern Asia,Confucian,6644b979d82aa15b1f944f25,It is considered rude to point at somebody using your index finger. It can be seen as demeaning or even aggressive.,Pointing at a coworker during a conversation.,,Rude/Impolite/Inappropriate/Disrespectful,4,
96,ID_EA_3,Index finger pointing,Japan,Asia,Eastern Asia,Confucian,666869f851894e7bd434e03a,Pointing at someone directly like that is generally seen as disrespectful in Japan.,Especially pointing at elder people is very disrespectful.,,Rude/Impolite/Inappropriate/Disrespectful,4,
97,ID_EA_3,Index finger pointing,Japan,Asia,Eastern Asia,Confucian,6465affa18e51585c3547310,"Pointing with the index finger is seen as impolite and disrespectful, often associated with aggression and rudeness.",Any time someone points at another human being it is considered very rude and shows a lack of respect.,,Rude/Impolite/Inappropriate/Disrespectful,5,
98,ID_EA_3,Index finger pointing,Japan,Asia,Eastern Asia,Confucian,65b83cd504dcc08170f2343b,It would sometimes indicate that the person pointing comes across as aggressive.,Casual conversation or arguments.,,Rude/Impolite/Inappropriate/Disrespectful,5,
99,ID_EAsia_Noff2_3,Wanker,Taiwan,Asia,Eastern Asia,Confucian,6660ff5f37446da5f38f06f6,It looks sexual,Having an argument with someone and using this gesture.,,Offensive/Obscene,4,
100,ID_EAsia_Noff2_3,Wanker,Taiwan,Asia,Eastern Asia,Confucian,671de2ac4bafa85dac6e1640,"it would likely provoke strong negative reactions, as it is considered inappropriate in almost all social contexts, from casual to formal.",Professional Environments;Public Spaces; Social Gatherings; Educational Settings.,there are no contexts in which it is viewed as non-offensive or positive,Offensive/Obscene,5,
101,ID_EAsia_Noff2_3,Wanker,Taiwan,Asia,Eastern Asia,Confucian,65df3ce4cbb00bebf8adad77,It is something related to masturbade,Generally rude and disrespectful when used with older people. It's best to avoid.,,Rude/Impolite/Inappropriate/Disrespectful,4,
